Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Workforce:Number of participants:,Business:Number of participants:,CAC/CDCAB members:Number of participants:,Civic/church group members:Number of participants:,CSEPP Immediate Reaction Zone residents:Number of participants:,Elected officials:Number of participants:,Emergency management:Number of participants:,Local schools:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,CSEPP Protective Action Zone residents:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
11,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,10/13/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
12,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,10/7/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
13,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BGCAPP Fiscal Year 2017 Update Email,10/6/16,Digital communications distribution,,40,,30,,,15,10,,,25,,,0,0,0
14,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Program Executive Office, Assembled Chemical Weapons Alternatives (PEO ACWA) Public Affairs Staff",10/6/16,Tour,,15,,,,,,,,,,,,0,0,0
15,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Meeting Summary,10/3/16,Digital communications distribution,,,,30,,,15,10,,,22,,,0,0,0
16,Individual contact,Team Member 2,10/7/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Individual contact,Team Member 3,10/6/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Individual contact,Team Member 3,10/6/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Individual contact,Team Member 1,10/3/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Media,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Individual contact,Team Member 1,10/3/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,First Presbyterian Church,10/19/16,Briefing/presentation,,,,,16,,,,,,,,,16,16,12
22,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,In-Process Review Tour,10/18/16,Tour,,15,,,,,,,,,,,,0,0,0
23,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Wellington Elementary School - I,10/18/16,Education Outreach Event,,,,,,,,,24,,,,,0,2,2
24,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Wellington Elementary School - II,10/18/16,Education Outreach Event,,,,,,,,,23,,,,,0,2,2
25,Individual contact,Team Member 4,10/20/16,"Name LastName, Title ",Outreach event,,No,The outreach team,In-person,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Individual contact,Team Member 4,10/19/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Individual contact,Team Member 1,10/19/16,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Individual contact,Team Member 2,10/18/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Individual contact,Team Member 2,10/17/16,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Individual contact,Team Member 1,10/17/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,10/15/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
32,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Team Members Inspect Blue Grass Fall-Protection Equipment,10/26/16,News Article,,,,,,,,,,,,,0,0,0,0
33,Social media submission,,,,,,,,,,,,,,10/26/16,1,1,,,,Note: for Team Members Inspect Blue Grass Fall-Protection Equipment news article,,,,,,,,,,,,,,,,,,,,
34,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Homeland Security and Assets Protection Leaders of Tomorrow (HALT) Students,10/27/16,Tour,,,,,,,,,20,,,,,0,20,13
35,Individual contact,Team Member 4,10/27/16,"Name LastName, Title ",Friend/family/coworker/neighbor,,No,The outreach team,In-person,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Individual contact,Team Member 1,10/25/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Individual contact,Team Member 4,10/25/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Individual contact,Team Member 1,10/21/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Fire Training Goes High Tech,10/28/16,News Article,,,,,,,,,,,,,0,0,0,0
40,Social media submission,,,,,,,,,,,,,,11/28/16,1,1,,,,Note: for Blue Grass Fire Training Goes High Tech article,,,,,,,,,,,,,,,,,,,,
41,Social media submission,,,,,,,,,,,,,,11/01/2016 - 11/15/2016,9,9,,,,,,,,,,,,,,,,,,,,,,,,
42,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,NAACP Freedom Fund dinner,10/29/16,Networking event,,8,112,1,,,4,,,,,,,0,0,0
43,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP New Employee Orientation,10/24/16,Workforce event,,8,,,,,,,,,,,,0,0,0
44,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Blue Grass Bulletin newsletter,10/27/16,Digital communications distribution,,1083,,,,,,,,,,,5,0,0,0
45,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at BGCAPP - October 2016,10/31/16,Digital communications distribution,,968,73,30,268,589,30,30,3,,50,259,,0,0,0
46,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Plant Starts Thermal Oxidizer Light-Off Process,11/3/16,News Article,,,,,,,,,,,,,0,0,0,0
47,Social media submission,,,,,,,,,,,,,,11/3/16,1,1,,,,Note: for Blue Grass Plant Starts Thermal Oxidizer Light-Off Process news article,,,,,,,,,,,,,,,,,,,,
48,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Chamber of Commerce dinner,11/3/16,Networking event,,6,,3,200,,3,,,,,,,0,0,0
49,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,March of Dimes dinner,11/4/16,Networking event,,6,,,250,,,,,,,,,0,0,0
50,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,American Red Cross,11/3/16,Tour,,,,,,,,6,,,,,,6,6,6
51,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,"Program Executive Office, Assembled Chemical Weapons Alternatives (PEO ACWA) Quarterly Brief",11/1/16,Digital communications distribution,,36,,30,,,15,15,,,25,,,0,0,0
52,Individual contact,Team Member 1,11/4/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Individual contact,Team Member 3,11/1/16,"Name LastName, Title ",Social Media,,Yes,The stakeholder,Telephone,Other (please specify):,College student - Canada,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Individual contact,Team Member 1,11/2/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Oversight/regulatory agency member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Individual contact,Team Member 1,11/1/16,"Name LastName, Title ",Outreach event,,Yes,The outreach team,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News Clipping,11/4/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
57,Social media submission,,,,,,,,,,,,,,10/01/2016 - 10/15/2016,6,6,,,,,,,,,,,,,,,,,,,,,,,,
58,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CSEPP IPT,11/2/16,Briefing/presentation,,,,,,,,30,,,,,,0,0,0
59,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Red Cross Smoke Detector campaign,10/8/16,Networking event,,23,,,,,,3,,,,,,0,0,0
60,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,American Cancer Society Relay for Life event,10/13/16,Networking event,,2,5,,10,,,,,,,,,0,0,0
61,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP New employee orientation,10/24/16,Workforce event,,8,,,,,,,,,,,,8,0,0
62,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP New employee orientation,11/7/16,Workforce event,,2,,,,,,,,,,,,2,0,0
63,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,"Girl Scouts дус Girls in Engineering, Math and Science Event - I",11/12/16,Education Outreach Event,,,,,,,,,33,,,,,0,0,0
64,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,"Girl Scouts дус Girls in Engineering, Math and Science Event - II",11/12/16,Education Outreach Event,,,,,,,,,34,,,,,0,0,0
65,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Lexington Herald-Leader and The Richmond Register Interview,11/10/16,Media event,,4,,,,,,,,2,,,,0,0,0
66,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BGCAPP Schedule and Affordability Update Email,11/8/16,Digital communications distribution,,15,,30,,,6,,,48,15,,,0,0,0
67,Individual contact,Team Member 4,11/9/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Individual contact,Team Member 4,11/8/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Individual contact,Team Member 4,11/9/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Individual contact,Team Member 3,11/9/16,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Telephone,CSEPP Protective Action Zone/Immediate Reaction Zone resident,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Individual contact,Team Member 2,11/9/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Individual contact,Team Member 4,11/8/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Individual contact,Team Member 4,11/8/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Telephone,CAC/CDCAB member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Individual contact,Team Member 2,11/7/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Social media submission,,,,,,,,,,,,,,11/12/16,1,1,,,,Note: for Pine Bluff anniversary,,,,,,,,,,,,,,,,,,,,
76,Social media submission,,,,,,,,,,,,,,11/08/2016 or 11/11/2016,1,,,1,,Note: CSEPP Video Short,,,,,,,,,,,,,,,,,,,,
77,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Partners Perform High-Angle Rescue Training,11/11/16,News Article,,,,,,,,,,,,,0,0,0,0
78,Social media submission,,,,,,,,,,,,,,11/11/16,1,1,,,,Note: for Blue Grass Partners Perform High-Angle Rescue Training news article,,,,,,,,,,,,,,,,,,,,
79,Social media submission,,,,,,,,,,,,,,11/11/16,1,,,,,Note: for Johnston Atoll  anniversary,,,,,,,,,,,,,,,,,,,,
80,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Farristown Middle School Career Showcase,11/18/16,Education Outreach Event,,,,,,,,,97,,,,,0,0,0
81,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Bechtel Parsons Blue Grass (BPBG) Vendor Forum,11/16/16,Information booth/exhibit,,,80,,,,,,,,,,,0,0,0
82,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Notification,11/15/16,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
83,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Meeting Advertisements - Berea Citizen,11/15/16,Advertisement,,,,,,,,,,0,,,,0,0,0
84,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Meeting Advertisements - The Richmond Register,11/15/16,Advertisement,,,,,,,,,,0,,,,0,0,0
85,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Meeting Advertisements - Local Cable,11/15/16,Advertisement,,,,,,,,,,0,,,,0,0,0
86,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB Meeting Advertisements - Public Service,11/15/16,Advertisement,,,,,,,,,,0,,,,0,0,0
87,Individual contact,Team Member 4,11/18/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Elected official,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Individual contact,Team Member 4,11/18/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,Emergency management,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Individual contact,Team Member 2,11/18/16,"Name LastName, Title ",Outreach event,,No,The outreach team,In-person,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Individual contact,Team Member 2,11/17/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Individual contact,Team Member 1,11/14/16,"Name LastName, Title ",Outreach event,,No,The outreach team,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Individual contact,Team Member 2,11/14/16,"Name LastName, Title ",Outreach event,,Yes,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Social media submission,,,,,,,,,,,,,,11/16/2016 - 11/30/2016,7,7,,1,,Note: for Blue Grass-Specific Equipment Testing: Rocket Cutting Machine video short,,,,,,,,,,,,,,,,,,,,
94,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,11/16/16,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
95,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,11/15/16,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
96,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,11/14/16,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
97,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,11/11/16,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
98,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,11/10/16,Digital communications distribution,,36,,30,,,6,6,,,20,,,0,0,0
99,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Madison County Business Education Partnership Career Day,11/14/16,Networking event,,12,10,,3,,,,1,,,,,0,0,0
100,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,BGCAPP New Employee Orientation,11/21/16,Workforce event,,3,,,,,,,,,,,,3,0,0
101,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Plant Hosts Vendor Forum,11/23/16,News Article,,,,,,,,,,,,,0,0,0,0
102,Social media submission,,,,,,,,,,,,,,11/23/16,1,1,,,,Note: for Blue Grass Plant Hosts Vendor Forum news article,,,,,,,,,,,,,,,,,,,,
103,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,National Academies,11/16/16,Briefing/presentation,,,,,,,,,,,30,,,0,0,0
104,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Farristown Middle School - I,11/21/16,Education Outreach Event,,,,,,,,,33,,,,,0,0,0
105,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Farristown Middle School - II,11/21/16,Education Outreach Event,,,,,,,,,32,,,,,0,0,0
106,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Farristown Middle School - III,11/21/16,Education Outreach Event,,,,,,,,,32,,,,,0,0,0
107,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Farristown Middle School - IV,11/21/16,Education Outreach Event,,,,,,,,,32,,,,,0,0,0
108,Individual contact,Team Member 4,11/23/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Telephone,CAC/CDCAB member,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Individual contact,Team Member 4,11/23/16,"Name LastName, Title ",Friend/family/coworker/neighbor,,Yes,The stakeholder,Digital communication,Business,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Individual contact,Team Member 2,11/22/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Individual contact,Team Member 2,11/21/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Individual contact,Team Member 1,11/21/16,"Name LastName, Title ",Friend/family/coworker/neighbor,,Yes,The stakeholder,Telephone,CSEPP Protective Action Zone/Immediate Reaction Zone resident,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Cost Analysis and Program Evaluation Office,12/1/16,Tour,,3,,,,,,,,,6,,,0,0,0
114,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Glenn Marshall Elementary School,12/1/16,Education Outreach Event,,,,,,,,,25,,,,,0,0,0
115,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Glenn Marshall Elementary School,11/30/16,Education Outreach Event,,,,,,,,,19,,,,,0,0,0
116,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at BGCAPP - November 2016,11/30/16,Digital communications distribution,,1699,15,30,176,248,15,25,3,,35,78,,0,0,0
117,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Glenn Marshall Elementary School,11/29/16,Education Outreach Event,,,,,,,,,22,,,,,0,0,0
118,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Glenn Marshall Elementary School,11/28/16,Education Outreach Event,,,,,,,,,25,,,,,0,0,0
119,Individual contact,Team Member 2,11/30/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Individual contact,Team Member 4,11/30/16,"Name LastName, Title ",Friend/family/coworker/neighbor,,No,The stakeholder,Digital communication,Emergency management,,N/A,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Individual contact,Team Member 4,11/29/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Emergency management,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Social media submission,,,,,,,,,,,,,,12/1/16,1,1,,1,,Note: for Rocket Cutting Machine video short,,,,,,,,,,,,,,,,,,,,
123,Social media submission,,,,,,,,,,,,,,12/1/16,1,1,,,,Note: for  Blue Grass Team Member Receives Top Army Acquisition Honor  article,,,,,,,,,,,,,,,,,,,,
124,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Team Member Receives Top Army Acquisition Honor  news article,12/1/16,News Article,,,,,,,,,,,,,0,0,0,0
125,Social media submission,,,,,,,,,,,,,,12/01/2016 - 12/15/2016,15,15,,,,,,,,,,,,,,,,,,,,,,,,
126,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,News clipping,11/29/16,Digital communications distribution,,35,,30,,,6,6,,,20,,,0,0,0
127,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 5,Affordability Workforce Message,10/20/16,Workforce event,,962,,,,,,,,,,,,0,0,0
128,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"Blue Grass Team Develops Simulator, Saves Project Funds",12/7/16,News Article,,,,,,,,,,,,,0,0,0,0
129,Social media submission,,,,,,,,,,,,,,12/7/16,1,1,,,,"Note: forBlue Grass Team Develops Simulator, Saves Project Funds news article",,,,,,,,,,,,,,,,,,,,
130,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Blue Grass Team Member Receives Army Acquisition Honor,12/9/16,News Article,,,,,,,,,,,,,0,0,0,0
131,Social media submission,,,,,,,,,,,,,,12/9/16,1,1,,,,Note: for Blue Grass Team Member Receives Army Acquisition Honor news article,,,,,,,,,,,,,,,,,,,,
132,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,Solid Waste Coordinators of Kentucky,12/8/16,Briefing/presentation,,2,,,31,,,,,,,,,31,31,30
133,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Pueblo Chemical Depot (PCD) Commander,12/8/16,Tour,,2,,,,,,,,,,,,0,0,0
134,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Kentucky Chemical Demilitarization Citizens' Advisory Commission (CAC) and Chemical Destruction Community Advisory Board (CDCAB) Meeting Reminder,12/7/16,Digital communications distribution,,35,,30,,,6,6,,,15,,,0,0,0
135,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC/CDCAB News Release,12/7/16,News release,,20,,30,,,,,,44,,,,0,0,0
136,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BGCAPP Talking Points,12/6/16,Digital communications distribution,,,,,,,,4,,,,,,0,0,0
137,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Lexington Herald-Leader Reporter,12/5/16,Tour,,2,,,,,,,,1,,,,0,0,0
138,Individual contact,Team Member 2,12/9/16,"Name LastName, Title ",Outreach event,,No,The stakeholder,Digital communication,Local school,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Individual contact,Team Member 1,12/7/16,"Name LastName, Title ",Friend/family/coworker/neighbor,,No,The outreach team,In-person,Emergency management,,N/A,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Individual contact,Team Member 3,12/7/16,"Name LastName, Title ",Outreach event,,Don't know,The stakeholder,Digital communication,Civic/church group member,,N/A,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Event or information distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Blue Grass Team Donates to Benefit Soldiers,12/14/16,News Article,,,,,,,,,,,,,0,0,0,0
