Stand-alone Card or Feedback Form?,Date,Location ,Addressed Questions/ Concerns,Activities Increased Awareness,Satisfied with Program,Accurate Information,ACWA is open/shares with public,Aware of current developments/progress,Information easy to understand,Information easily accessible,Offers Ops. For Involvement
Feedback Form,12/6/16,4,1,1,1,2,1,1,1,2,1
Feedback Form,12/6/16,4,1,1,1,1,1,1,1,1,1
Feedback Form,12/6/16,4,2,2,2,2,2,2,2,2,2
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,2,2,
Feedback Form,2/17/17,6,2,1,2,1,2,2,2,1,2
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,3,3,1,1,3,1,1,3,2
Feedback Form,2/17/17,6,1,1,1,1,1,2,1,1,1
Feedback Form,2/17/17,6,2,2,3,3,3,4,2,3,3
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,2,1,1,3,2,3,2,2,2
Feedback Form,2/17/17,6,1,2,2,2,1,2,1,2,1
Feedback Form,2/17/17,6,2,1,1,1,1,1,1,2,2
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,3,2,2,2
Feedback Form,2/17/17,6,2,1,2,2,2,2,2,2,1
Feedback Form,2/17/17,6,1,1,1,1,2,2,2,2,1
Feedback Form,2/17/17,6,2,1,2,2,2,3,3,3,3
Feedback Form,2/17/17,6,1,1,2,2,1,2,1,1,2
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,2,2,2,2,2,2,2,3,2
Feedback Form,2/17/17,6,1,1,1,1,1,,1,2,3
Feedback Form,2/17/17,6,1,1,1,2,2,3,2,3,2
Feedback Form,2/17/17,6,1,1,1,1,1,2,2,3,2
Feedback Form,2/17/17,6,1,1,1,1,1,2,1,3,2
Feedback Form,2/17/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,2/17/17,6,1,2,1,1,2,3,2,3,2
Feedback Form,2/17/17,6,1,1,1,1,1,3,2,3,1
Feedback Form,2/17/17,6,2,2,2,2,2,2,2,2,2
Feedback Form,2/17/17,6,2,2,2,2,2,2,2,2,3
Feedback Form,3/15/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,3/15/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,3/15/17,6,2,2,2,2,2,2,2,2,3
Feedback Form,3/15/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,3/15/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,3/15/17,6,1,1,1,1,1,1,1,1,1
Feedback Form,5/4/17,4,1,1,1,1,1,1,1,1,1
Feedback Form,5/4/17,4,2,3,2,5,3,3,2,2,4
Feedback Form,5/4/17,4,1,1,1,1,1,1,1,1,1
Feedback Form,5/4/17,4,1,1,1,1,1,1,2,1,2
Feedback Form,5/4/17,4,1,1,1,1,1,1,1,1,1
Feedback Form,5/4/17,4,1,1,1,1,1,1,1,1,1
Feedback Form,5/4/17,4,2,2,2,3,2,2,3,2,2
Feedback Form,5/4/17,4,1,1,1,2,1,2,2,1,1
