Response ID,Select which type of data to enter:,Outreach team member:,Date of contact:,Stakeholder's name and title:,How did they hear about the program?,Other (please specify):How did they hear about the program?,Is this stakeholder a new contact?,Who initiated the contact?,Method of interaction:,Stakeholder type:,Other (please specify)::Stakeholder type:,Was a feedback form distributed?:Complete the following:,Did the stakeholder request information?:Complete the following:,Was the stakeholder given program materials during the interaction?:Complete the following:,Date range of submission(s):,Facebook posts:Number of social media postings submitted:,Tweets:Number of social media postings submitted:,Full-length videos:Number of social media postings submitted:,Digital shorts:Number of social media postings submitted:,Livestreaming:Number of social media postings submitted:,Name of video (if applicable):,Outreach team member:,Name of event or distribution:,Date of event or distribution:,Event or distribution type:,Other (please specify):Event or distribution type:,Business & economic development group members:Number of participants:,CAC/Working Group members:Number of participants:,Citizen board/commission members:Number of participants:,Community advocacy/Non-profit:Number of participants:,Elected and Government-appointed officials:Number of participants:,Emergency management:Number of participants:,Community members:Number of participants:,Education community:Number of participants:,Media:Number of participants:,Oversight/regulatory agency members:Number of participants:,Workforce:Number of participants:,Other:Number of participants:,Number:Information packets distributed:Complete the following:,Number:Feedback forms distributed:Complete the following:,Number:Feedback forms collected:Complete the following:
54,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (4),10/31/16,Education outreach event,,,,,,,,,21,,,,,0,1,1
55,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (5),10/31/16,Education outreach event,,,,,,,,,22,,,,,0,1,1
56,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (6),10/31/16,Education outreach event,,,,,,,,21,,,,,,0,0,0
57,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,Education Outreach: Prairie Winds Elementary (7),10/31/16,Education outreach event,,,,,,,21,,,,,,,0,0,0
58,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Colorado Man Continues Family Legacy of Depot Work,10/7/16,News article,,,,,,,,,,,,,0,0,0,0
59,Social media posting submission,,,,,,,,,,,,,,11/01/2016-11/15/2016,10,10,,,,,,,,,,,,,,,,,,,,,,,,
60,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Packaged Munitions Require Special Handling,10/14/16,News article,,,,,,,,,,,,,0,0,0,0
61,Social media posting submission,,,,,,,,,,,,,,10/7/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
62,Social media posting submission,,,,,,,,,,,,,,10/14/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
63,Individual contact,Team Member 3,10/19/16,"name lastname, titles",Outreach event,,No,The stakeholder,Digital communication,CAC member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: International Inspectors Monitor Weapons Destruction at Colorado Plant,10/31/16,News article,,,,,,,,,,,,,0,0,0,0
65,Social media posting submission,,,,,,,,,,,,,,10/31/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
66,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,CAC Meeting,10/26/16,CAC (or CAC subcommittee)/advisory board meeting,,1,5,,,,2,7,,,3,12,,0,0,0
67,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Safety Remain Focus of Pilot Testing Phase,10/28/16,News article,,,,,,,,,,,,,0,0,0,0
68,Social media posting submission,,,,,,,,,,,,,,10/28/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
69,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Emergency Preparedness Training Aids in Fire Response,11/3/16,News article,,,,,,,,,,,,,0,0,0,0
70,Social media posting submission,,,,,,,,,,,,,,11/3/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
71,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,This Month at PCAPP: Oct. 2016,10/31/16,Digital communications distribution,,75,8,35,35,22,45,579,2,6,45,1838,,0,0,0
72,Social media posting submission,,,,,,,,,,,,,,11/16/2016-11/30/2016,8,8,,,,,,,,,,,,,,,,,,,,,,,,
74,Social media posting submission,,,,,,,,,,,,,,10/26/16,,,,1,,Simulated Munitions Prepare Colorado Plant for Operations,,,,,,,,,,,,,,,,,,,,
76,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,Colorado CAC Live Streaming Video Distribution,10/27/16,Digital communications distribution,,,10,,,,,,,,,13,,0,0,0
77,Individual contact,Team Member 2,10/26/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,In-person,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Individual contact,Team Member 2,10/27/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Emergency management,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Individual contact,Team Member 2,10/27/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Individual contact,Team Member 2,10/26/16,"name lastname, titles",Advertisement,,Yes,The outreach team,In-person,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Individual contact,Team Member 2,10/27/16,"name lastname, titles",Advertisement,,No,The outreach team,Digital communication,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Individual contact,Team Member 2,10/24/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The outreach team,Digital communication,Business & economic development group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Individual contact,Team Member 2,10/27/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Business & economic development group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,10/27/16,Digital communications distribution,,,1,,,1,4,,,,15,46,,0,0,0
85,Individual contact,Team Member 4,11/4/16,"name lastname, titles",Don't know - did not ask,,Yes,The outreach team,In-person,Other (please specify):,Local Political Candidate,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,11/7/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
87,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,10/31/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
88,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/1/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
89,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/2/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
90,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/3/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
91,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,PWG Meeting,10/26/16,CAC (or CAC subcommittee)/advisory board meeting,,,5,,,,,3,,,2,11,,0,0,0
92,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,BUG Meeting,10/26/16,CAC (or CAC subcommittee)/advisory board meeting,,,5,,,,,,3,,2,11,,0,0,0
94,Social media posting submission,,,,,,,,,,,,,,10/01/2016-10/15/2016,9,9,,,,,,,,,,,,,,,,,,,,,,,,
95,Social media posting submission,,,,,,,,,,,,,,10/16/2016-10/31/2016,6,6,,,,,,,,,,,,,,,,,,,,,,,,
96,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,11/14/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
97,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/7/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
98,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/8/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
99,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/9/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
100,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/10/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
101,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message from SPM,11/3/16,Workforce event,,,,,,,,,,,,1,,1,0,0
102,Individual contact,Team Member 1,11/3/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Media,,No,No,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,CSU-Pueblo Etiquette Dinner,11/10/16,Networking event,,19,,,,,,,130,,,1,,0,0,0
104,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Welcome Message from SPM,11/9/16,Workforce event,,,,,,,,,,,,5,,5,0,0
105,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Training Facility Tour,11/8/16,Tour,,,,,,,,,,,,1,9,0,0,0
106,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Monthly Membership Meeting,11/8/16,Networking event,,29,,,,,,2,,,,4,,0,0,0
107,Individual contact,Team Member 1,11/10/16,"name lastname, titles",Don't know - did not ask,,Yes,The stakeholder,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Pueblo Chieftain Veterans Day Parade,11/12/16,Information booth/exhibit,,,,,,,,22,,,,,,0,0,0
109,Social media posting submission,,,,,,,,,,,,,,11/18/16,,,1,,,HD 155MM Processed Munitions for Scrap Disposal 31 October 2016,,,,,,,,,,,,,,,,,,,,
110,Individual contact,Team Member 4,11/15/16,"name lastname, titles",Other (please specify),New CAC Member,Yes,The outreach team,In-person,CAC member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,"Tour: Col. Arthur B. Cajigal, Command Surgeon, JMC",11/3/16,Tour,,,,,,,,,,,,3,,0,0,0
112,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,PEO ACWA Quarterly Brief-Special Pueblo Start Up Edition July-Sep2016,11/1/16,Digital communications distribution,,6,9,,,12,3,,,,6,1750,,0,0,0
113,Individual contact,Team Member 2,11/3/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Outreach office visitor/walk-in,Community advisory group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Individual contact,Team Member 2,11/3/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The outreach team,Digital communication,Elected official,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Individual contact,Team Member 2,11/1/16,"name lastname, titles",Friend/family/coworker/neighbor,,Yes,The outreach team,Telephone,Elected official,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,11/2/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
117,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,11/3/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
118,Individual contact,Team Member 2,11/9/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The outreach team,Digital communication,Community advisory group member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,11/11/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
120,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,News Clipping,11/12/16,Digital communications distribution,,,1,,,1,4,,,,14,46,,0,0,0
121,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/14/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
122,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/15/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
123,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/16/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
124,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/17/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
125,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,11/21/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
126,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Southern Colorado Press Club Board of Directors Meeting,11/18/16,Networking event,,4,,,,,,2,,2,,1,,0,0,0
127,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Turkey Giveaway at Coop Care,11/18/16,Workforce event,,10,,,,,,,,1,,5,,0,0,0
128,Individual contact,Team Member 1,11/14/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Media,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,11/28/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
130,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/21/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
131,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/22/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
132,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/23/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
133,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,SPM Welcome Message,11/23/16,Workforce event,,,,,,,,,,,,8,,8,0,0
134,Individual contact,Team Member 1,11/21/16,"name lastname, titles",Don't know - did not ask,,No,The outreach team,Digital communication,Media,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Emergency Preparedness Training Aids in Fire Response,11/3/16,News article,,,,,,,,,,,,,0,0,0,0
136,Social media posting submission,,,,,,,,,,,,,,11/3/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
137,Social media posting submission,,,,,,,,,,,,,,11/16/2016-11/30/2016,8,8,,,,,,,,,,,,,,,,,,,,,,,,
138,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 6,news article: Colorado Community Serves Dual Military Roles,11/10/16,News article,,,,,,,,,,,,,0,0,0,0
139,Social media posting submission,,,,,,,,,,,,,,11/10/16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
140,Individual contact,Team Member 3,11/14/16,"name lastname, titles",Outreach event,,No,The stakeholder,Digital communication,CAC member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,news article: Demil Plant Secondary Waste Products Processed Off Site,11/23/16,News article,,,,,,,,,,,,,0,0,0,0
142,Social media posting submission,,,,,,,,,,,,,,11/23/16,2,2,,,,,,,,,,,,,,,,,,,,,,,,
143,Social media posting submission,,,,,,,,,,,,,,12/01/2016-12/15/2016,5,5,,,,,,,,,,,,,,,,,,,,,,,,
144,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 3,"news article: Turkey Time, Thanks to PCAPP Employees",11/23/16,News article,,,,,,,,,,,,,0,0,0,0
145,Individual contact,Team Member 3,11/10/16,"name lastname, titles",Outreach event,,No,The stakeholder,In-person,CAC member,,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Social media posting submission,,,,,,,,,,,,,,11/29/16,1,,,1,,Robotic Systems Washout Chemical Munitions in Colorado,,,,,,,,,,,,,,,,,,,,
147,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 4,Weekly Report,12/5/16,Digital communications distribution,,,2,,,,3,,,,8,36,,0,0,0
148,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/28/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
149,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/29/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
150,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,11/30/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
151,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 1,Communicator,12/1/16,Workforce event,,,,,,,,,,,,1300,,0,0,0
152,Social media posting submission,,,,,,,,,,,,,,10/26/16,,,,,1,,,,,,,,,,,,,,,,,,,,,
153,Event or distribution,,,,,,,,,,,,,,,,,,,,,Team Member 2,PCAPP Message to Stakeholders,12/2/16,Digital communications distribution,,60,10,32,32,22,89,284,56,49,3,60,1350,0,0,0
154,Individual contact,Team Member 2,12/2/16,"name lastname, titles",Friend/family/coworker/neighbor,,No,The stakeholder,Digital communication,Local community member,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
